,title,type,origin,note,rate
89,Boruto - Naruto Next Generations,Série TV,Manga,7.14,Bon
90,Detective Conan,Série TV,Manga,8.81,Très bon
91,Fruits Basket 2nd Season,Série TV,Manga,9.22,Très bon
92,Fugou Keiji Balance : Unlimited,Série TV,Roman,8.68,Très bon
93,Shokugeki no Souma : Gou no Sara,Série TV,Manga,8.43,Très bon
94,Ahiru no Sora,Série TV,Manga,8.69,Très bon
95,Great Pretender,Série TV,Œuvre originale,8.89,Très bon
96,Toaru Kagaku no Railgun T,Série TV,Manga,9.28,Très bon
97,Appare-Ranman!,Série TV,Œuvre originale,8.32,Très bon
98,Bungou to Alchemist ~Shinpan no Haguruma~,Série TV,Jeu vidéo,7.29,Bon
99,Super Dragon Ball Heroes,Série TV,Jeu de carte,5.65,Moyen
100,Pokémon (2019),Série TV,Jeu vidéo,8.51,Très bon
101,IDOLiSH7 Second BEAT!,Série TV,Jeu vidéo,8.87,Très bon
102,Zenonzard The Animation,Série TV,Projet transmédia,7.53,Bon
103,Digimon Adventure :,Série TV,Œuvre originale,8.09,Très bon
104,Kingdom 3,Série TV,Manga,9.19,Très bon
105,Houkago Teibou Nisshi,Série TV,Manga,8.19,Très bon
106,Crayon Shin-chan,Série TV,Manga,8.65,Très bon
107,Gal to Kyouryuu,Série TV,Manga,6.55,Bon
108,MAJOR SECOND 2nd,Série TV,Manga,8.2,Très bon
109,Shadowverse,Série TV,Jeu vidéo,6.92,Bon
110,Gudetama,Série TV,Non défini,9.86,Très bon
111,Mewkledreamy,Série TV,Mascotte,8.23,Très bon
112,Yu-Gi-Oh : Sevens,Série TV,Manga,6.09,Bon
113,Healin' Good♡Precure,Série TV,Œuvre originale,8.86,Très bon
114,Bessatsu Olympia Kyklos,Série TV,Non défini,8.57,Très bon
115,Doraemon (2005),Série TV,,8.43,Très bon
116,Sazae-san,Série TV,Non défini,8.57,Très bon
117,Gundam Build Divers Re:RISE 2nd Season,Série TV,Œuvre originale,7.33,Bon
118,Alps no Shoujo Heidi? Chara Onji,Série TV,Non défini,4.75,Nul
119,BanG Dream! Garupa☆Pico ~Ohmori~,Série TV,Projet transmédia,10.0,Très bon
120,Beyblade Burst GT,Série TV,Œuvre originale,6.5,Bon
121,SD Gundam World : Sangoku Souketsuden,Série TV,Non défini,7.33,Bon
122,Soreike! Anpanman,Série TV,Livre d'image,8.56,Très bon
123,Cardfight!! Vanguard Gaiden : If,Série TV,Œuvre originale,6.0,Moyen
124,Bono Bono (2016),Série TV,Manga,8.0,Bon
125,Nintama Rantarou,Série TV,Manga,5.5,Moyen
126,Super Shiro,Série TV,Manga,8.5,Très bon
127,Youkai Watch Jam : Youkai Gakuen Y - N to no Souguu,Série TV,Jeu vidéo,8.0,Bon
128,Kiratto Pri☆chan 3,Série TV,Jeu vidéo,,
129,Ojarumaru,Série TV,Manga,5.5,Moyen
130,Beyblade Burst Super King,Série TV,Non défini,7.0,Bon
